ID,Organization_Name,Sector,Organization_Type,Acronym,Official_Logo_Link
154,Gujarat Police Recruitment Board,State Government,State Commission / Board,GPRB,https://upload.wikimedia.org/wikipedia/commons/c/cd/Gujarat-police.png
155,Gujarat Public Service Commission (GPSC),State Government,State Commission / Board,GPSC,https://gpsc.gujarat.gov.in/images/Logo-GPSC.png
156,Gujarat State Electricity / Power Generation Board,State Government,State Commission / Board,GSEPG,https://www.guvnl.com/img/Logo_GSECL.png
157,Gujarat State Road Transport Corporation,State Government,State Commission / Board,GSRTC,https://en.wikipedia.org/wiki/Special:FilePath/Gujarat%20State%20road%20transport%20corporation.jpg
158,Haryana Police Recruitment Board,State Government,State Commission / Board,HPRB,https://upload.wikimedia.org/wikipedia/en/d/d0/Haryana-police-logo.png
159,Haryana Public Service Commission (HPSC),State Government,State Commission / Board,HPSC,https://upload.wikimedia.org/wikipedia/commons/3/36/Emblem_of_Haryana.svg
160,Haryana State Electricity / Power Generation Board,State Government,State Commission / Board,HSEPG,https://upload.wikimedia.org/wikipedia/commons/3/36/Emblem_of_Haryana.svg
161,Haryana State Road Transport Corporation,State Government,State Commission / Board,HSRTC,https://upload.wikimedia.org/wikipedia/commons/3/36/Emblem_of_Haryana.svg
162,Himachal Pradesh Police Recruitment Board,State Government,State Commission / Board,HPPRB,https://upload.wikimedia.org/wikipedia/en/9/9c/Himachal_Pradesh_Police_Logo.png
163,Himachal Pradesh Public Service Commission (HPPSC),State Government,State Commission / Board,HPPSC,https://upload.wikimedia.org/wikipedia/commons/a/a6/Emblem_of_Himachal_Pradesh.svg
164,Himachal Pradesh State Electricity / Power Generation Board,State Government,State Commission / Board,HPSEP,https://upload.wikimedia.org/wikipedia/commons/a/a6/Emblem_of_Himachal_Pradesh.svg
165,Himachal Pradesh State Road Transport Corporation,State Government,State Commission / Board,HPSRT,https://upload.wikimedia.org/wikipedia/commons/a/a6/Emblem_of_Himachal_Pradesh.svg
166,Jharkhand Police Recruitment Board,State Government,State Commission / Board,JPRB,https://upload.wikimedia.org/wikipedia/commons/9/97/Jharkhand_Police_Logo_%28India%29.svg
167,Jharkhand Public Service Commission (JPSC),State Government,State Commission / Board,JPSC,https://upload.wikimedia.org/wikipedia/commons/a/a9/Emblem_of_Jharkhand.svg
168,Jharkhand State Electricity / Power Generation Board,State Government,State Commission / Board,JSEPG,https://upload.wikimedia.org/wikipedia/commons/a/a9/Emblem_of_Jharkhand.svg
169,Jharkhand State Road Transport Corporation,State Government,State Commission / Board,JSRTC,https://upload.wikimedia.org/wikipedia/commons/a/a9/Emblem_of_Jharkhand.svg
170,Karnataka Police Recruitment Board,State Government,State Commission / Board,KPRB,https://upload.wikimedia.org/wikipedia/commons/a/aa/Seal_of_Karnataka.svg
171,Karnataka Public Service Commission (KPSC),State Government,State Commission / Board,KPSC,https://upload.wikimedia.org/wikipedia/commons/a/aa/Seal_of_Karnataka.svg
172,Karnataka State Electricity / Power Generation Board,State Government,State Commission / Board,KSEPG,https://upload.wikimedia.org/wikipedia/commons/a/aa/Seal_of_Karnataka.svg
173,Karnataka State Road Transport Corporation,State Government,State Commission / Board,KSRTC,https://upload.wikimedia.org/wikipedia/commons/9/93/Karnataka_State_Road_Transport_Corporation_%28KSRTC%29_logo.png
174,Kerala Police Recruitment Board,State Government,State Commission / Board,KPRB,https://upload.wikimedia.org/wikipedia/commons/a/a0/Kerala_State_Police_Logo.png
175,Kerala Public Service Commission (KPSC),State Government,State Commission / Board,KPSC,https://upload.wikimedia.org/wikipedia/commons/5/5b/Emblem_of_Kerala.svg
176,Kerala State Electricity / Power Generation Board,State Government,State Commission / Board,KSEPG,https://upload.wikimedia.org/wikipedia/commons/b/b0/K.S.E.B_Logo.png
177,Kerala State Road Transport Corporation,State Government,State Commission / Board,KSRTC,https://upload.wikimedia.org/wikipedia/en/7/71/Kerala_State_Road_Transport_Corporation_logo.png
178,Madhya Pradesh Police Recruitment Board,State Government,State Commission / Board,MPPRB,https://upload.wikimedia.org/wikipedia/commons/4/47/Police_Mono_Other_Format_Red.png
179,Madhya Pradesh Public Service Commission (MPPSC),State Government,State Commission / Board,MPPSC,https://upload.wikimedia.org/wikipedia/commons/a/a4/Emblem_of_Madhya_Pradesh.svg
180,Madhya Pradesh State Electricity / Power Generation Board,State Government,State Commission / Board,MPSEP,https://upload.wikimedia.org/wikipedia/commons/a/a4/Emblem_of_Madhya_Pradesh.svg
181,Madhya Pradesh State Road Transport Corporation,State Government,State Commission / Board,MPSRT,https://upload.wikimedia.org/wikipedia/commons/a/a4/Emblem_of_Madhya_Pradesh.svg
182,Maharashtra Police Recruitment Board,State Government,State Commission / Board,MPRB,https://upload.wikimedia.org/wikipedia/en/9/96/Maharashtra_Police_Insignia_India.svg
183,Maharashtra Public Service Commission (MPSC),State Government,State Commission / Board,MPSC,https://upload.wikimedia.org/wikipedia/commons/8/80/Emblem_of_Maharashtra.svg
184,Maharashtra State Electricity / Power Generation Board,State Government,State Commission / Board,MSEPG,https://upload.wikimedia.org/wikipedia/en/4/42/Maharashtra_State_Power_Generation_Company_%28logo%29.png
185,Maharashtra State Road Transport Corporation,State Government,State Commission / Board,MSRTC,https://en.wikipedia.org/wiki/Special:FilePath/Maharashtra%20State%20Road%20Transport%20Corporation%20logo.png
186,Manipur Police Recruitment Board,State Government,State Commission / Board,MPRB,https://upload.wikimedia.org/wikipedia/en/3/30/Manipur_Police_Logo.png
187,Manipur Public Service Commission (MPSC),State Government,State Commission / Board,MPSC,https://upload.wikimedia.org/wikipedia/commons/e/ec/Emblem_of_Manipur.svg
188,Manipur State Electricity / Power Generation Board,State Government,State Commission / Board,MSEPG,https://upload.wikimedia.org/wikipedia/commons/e/ec/Emblem_of_Manipur.svg
189,Manipur State Road Transport Corporation,State Government,State Commission / Board,MSRTC,https://upload.wikimedia.org/wikipedia/commons/e/ec/Emblem_of_Manipur.svg
190,Meghalaya Police Recruitment Board,State Government,State Commission / Board,MPRB,https://upload.wikimedia.org/wikipedia/commons/f/ff/Seal_of_Meghalaya.svg
191,Meghalaya Public Service Commission (MPSC),State Government,State Commission / Board,MPSC,https://upload.wikimedia.org/wikipedia/commons/f/ff/Seal_of_Meghalaya.svg
192,Meghalaya State Electricity / Power Generation Board,State Government,State Commission / Board,MSEPG,https://upload.wikimedia.org/wikipedia/commons/f/ff/Seal_of_Meghalaya.svg
193,Meghalaya State Road Transport Corporation,State Government,State Commission / Board,MSRTC,https://upload.wikimedia.org/wikipedia/commons/f/ff/Seal_of_Meghalaya.svg
194,Mizoram Police Recruitment Board,State Government,State Commission / Board,MPRB,https://upload.wikimedia.org/wikipedia/commons/c/c5/Emblem_of_Mizoram.svg
195,Mizoram Public Service Commission (MPSC),State Government,State Commission / Board,MPSC,https://upload.wikimedia.org/wikipedia/commons/c/c5/Emblem_of_Mizoram.svg
196,Mizoram State Electricity / Power Generation Board,State Government,State Commission / Board,MSEPG,https://upload.wikimedia.org/wikipedia/commons/c/c5/Emblem_of_Mizoram.svg
197,Mizoram State Road Transport Corporation,State Government,State Commission / Board,MSRTC,https://upload.wikimedia.org/wikipedia/commons/c/c5/Emblem_of_Mizoram.svg
198,Nagaland Police Recruitment Board,State Government,State Commission / Board,NPRB,https://upload.wikimedia.org/wikipedia/commons/6/69/Emblem_of_Nagaland.svg
199,Nagaland Public Service Commission (NPSC),State Government,State Commission / Board,NPSC,https://upload.wikimedia.org/wikipedia/commons/6/69/Emblem_of_Nagaland.svg
200,Nagaland State Electricity / Power Generation Board,State Government,State Commission / Board,NSEPG,https://upload.wikimedia.org/wikipedia/commons/6/69/Emblem_of_Nagaland.svg
201,Nagaland State Road Transport Corporation,State Government,State Commission / Board,NSRTC,https://upload.wikimedia.org/wikipedia/commons/6/69/Emblem_of_Nagaland.svg
202,Odisha Police Recruitment Board,State Government,State Commission / Board,OPRB,https://upload.wikimedia.org/wikipedia/commons/e/e0/Emblem_of_Odisha.svg
203,Odisha Public Service Commission (OPSC),State Government,State Commission / Board,OPSC,https://upload.wikimedia.org/wikipedia/commons/e/e0/Emblem_of_Odisha.svg
204,Odisha State Electricity / Power Generation Board,State Government,State Commission / Board,OSEPG,https://upload.wikimedia.org/wikipedia/commons/e/e0/Emblem_of_Odisha.svg
205,Odisha State Road Transport Corporation,State Government,State Commission / Board,OSRTC,https://upload.wikimedia.org/wikipedia/commons/e/e0/Emblem_of_Odisha.svg
206,Punjab Police Recruitment Board,State Government,State Commission / Board,PPRB,https://upload.wikimedia.org/wikipedia/en/9/91/Punjab_Police_%28India%29_Logo.png
207,Punjab Public Service Commission (PPSC),State Government,State Commission / Board,PPSC,https://upload.wikimedia.org/wikipedia/commons/5/5a/Emblem_of_Punjab.svg
208,Punjab State Electricity / Power Generation Board,State Government,State Commission / Board,PSEPG,https://upload.wikimedia.org/wikipedia/commons/5/5a/Emblem_of_Punjab.svg
209,Punjab State Road Transport Corporation,State Government,State Commission / Board,PSRTC,https://upload.wikimedia.org/wikipedia/commons/5/5a/Emblem_of_Punjab.svg
210,Rajasthan Police Recruitment Board,State Government,State Commission / Board,RPRB,https://upload.wikimedia.org/wikipedia/en/0/02/Rajasthan_Police_Logo.png
211,Rajasthan Public Service Commission (RPSC),State Government,State Commission / Board,RPSC,https://rpsc.rajasthan.gov.in/Images/RPSC_Logo.png
212,Rajasthan State Electricity / Power Generation Board,State Government,State Commission / Board,RSEPG,https://en.wikipedia.org/wiki/Special:FilePath/Emblem_Rajasthan.png
213,Rajasthan State Road Transport Corporation,State Government,State Commission / Board,RSRTC,https://upload.wikimedia.org/wikipedia/commons/a/af/RSRTC_logo.png
214,Sikkim Police Recruitment Board,State Government,State Commission / Board,SPRB,https://upload.wikimedia.org/wikipedia/commons/a/a2/Emblem_of_Sikkim.svg
215,Sikkim Public Service Commission (SPSC),State Government,State Commission / Board,SPSC,https://upload.wikimedia.org/wikipedia/commons/a/a2/Emblem_of_Sikkim.svg
216,Sikkim State Electricity / Power Generation Board,State Government,State Commission / Board,SSEPG,https://upload.wikimedia.org/wikipedia/commons/a/a2/Emblem_of_Sikkim.svg
217,Sikkim State Road Transport Corporation,State Government,State Commission / Board,SSRTC,https://upload.wikimedia.org/wikipedia/commons/a/a2/Emblem_of_Sikkim.svg
218,Tamil Nadu Police Recruitment Board,State Government,State Commission / Board,TNPRB,https://upload.wikimedia.org/wikipedia/commons/8/81/TamilNadu_Logo.svg
219,Tamil Nadu Public Service Commission (TNPSC),State Government,State Commission / Board,TNPSC,https://upload.wikimedia.org/wikipedia/commons/8/81/TamilNadu_Logo.svg
220,Tamil Nadu State Electricity / Power Generation Board,State Government,State Commission / Board,TNSEP,https://upload.wikimedia.org/wikipedia/commons/8/81/TamilNadu_Logo.svg
221,Tamil Nadu State Road Transport Corporation,State Government,State Commission / Board,TNSRT,https://upload.wikimedia.org/wikipedia/commons/8/81/TamilNadu_Logo.svg
222,Telangana Police Recruitment Board,State Government,State Commission / Board,TPRB,https://upload.wikimedia.org/wikipedia/commons/a/a0/Telangana_Police_logo.png
223,Telangana Public Service Commission (TPSC),State Government,State Commission / Board,TPSC,https://upload.wikimedia.org/wikipedia/commons/e/ef/Government_of_Telangana_Logo.svg
224,Telangana State Electricity / Power Generation Board,State Government,State Commission / Board,TSEPG,https://upload.wikimedia.org/wikipedia/commons/e/ef/Government_of_Telangana_Logo.svg
225,Telangana State Road Transport Corporation,State Government,State Commission / Board,TSRTC,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/TSRTC_Logo.png/220px-TSRTC_Logo.png
226,Tripura Police Recruitment Board,State Government,State Commission / Board,TPRB,https://upload.wikimedia.org/wikipedia/commons/b/b9/Emblem_of_Tripura.svg
227,Tripura Public Service Commission (TPSC),State Government,State Commission / Board,TPSC,https://upload.wikimedia.org/wikipedia/commons/b/b9/Emblem_of_Tripura.svg
228,Tripura State Electricity / Power Generation Board,State Government,State Commission / Board,TSEPG,https://upload.wikimedia.org/wikipedia/commons/b/b9/Emblem_of_Tripura.svg
229,Tripura State Road Transport Corporation,State Government,State Commission / Board,TSRTC,https://upload.wikimedia.org/wikipedia/commons/b/b9/Emblem_of_Tripura.svg
230,Uttar Pradesh Police Recruitment Board,State Government,State Commission / Board,UPPRB,https://upload.wikimedia.org/wikipedia/commons/2/23/UP_Police_Emblem.png
231,Uttar Pradesh Public Service Commission (UPPSC),State Government,State Commission / Board,UPPSC,https://upload.wikimedia.org/wikipedia/commons/f/fa/Seal_of_Uttar_Pradesh.svg
232,Uttar Pradesh State Electricity / Power Generation Board,State Government,State Commission / Board,UPSEP,https://en.wikipedia.org/wiki/Special:FilePath/Uttar%20Pradesh%20Power%20Corporation%20Limited.svg
233,Uttar Pradesh State Road Transport Corporation,State Government,State Commission / Board,UPSRT,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/UPSRTC_logo.png/220px-UPSRTC_logo.png
234,Uttarakhand Police Recruitment Board,State Government,State Commission / Board,UPRB,https://upload.wikimedia.org/wikipedia/commons/9/99/Seal_of_Uttarakhand.svg
235,Uttarakhand Public Service Commission (UPSC),State Government,State Commission / Board,UPSC,https://upload.wikimedia.org/wikipedia/commons/9/99/Seal_of_Uttarakhand.svg
236,Uttarakhand State Electricity / Power Generation Board,State Government,State Commission / Board,USEPG,https://upload.wikimedia.org/wikipedia/commons/9/99/Seal_of_Uttarakhand.svg
237,Uttarakhand State Road Transport Corporation,State Government,State Commission / Board,USRTC,https://upload.wikimedia.org/wikipedia/commons/9/99/Seal_of_Uttarakhand.svg
238,West Bengal Police Recruitment Board,State Government,State Commission / Board,WBPRB,https://en.wikipedia.org/wiki/Special:FilePath/West%20Bengal%20Police%20Logo.svg
239,West Bengal Public Service Commission (WBPSC),State Government,State Commission / Board,WBPSC,https://upload.wikimedia.org/wikipedia/commons/d/d5/Emblem_of_West_Bengal.svg
240,West Bengal State Electricity / Power Generation Board,State Government,State Commission / Board,WBSEP,https://en.wikipedia.org/wiki/Special:FilePath/WBSEDCL%20Logo.svg
241,West Bengal State Road Transport Corporation,State Government,State Commission / Board,WBSRT,https://upload.wikimedia.org/wikipedia/commons/d/d5/Emblem_of_West_Bengal.svg
